ID,CATEGORIA,TITOLO,AUTORE,CASA_EDITRICE,ANNO_PUBBLICAZIONE,NOTE,SCOMPARTO
1,AcomeAmoreDoloreMorte,Dove si nasconde la salute,Gadamer Hans-Georg,Raffaello Cortina Ed.,1993,test,
2,AmoreDoloreMorte,Lo scambio simbolico e la morte,Baudrillard Jean,Feltrinelli,1976,,
3,AmoreDoloreMorte,Così vivamo ora (Amicizia e AIDS),Sontag Susan,La Tartaruga Edizioni,1986,,
4,AmoreDoloreMorte,Pensare la morte?,Jankélévitch Vladimir,Raffaello Cortina Editore,1994,,
5,AmoreDoloreMorte,La voglia di guarire. Nuove tecniche psicologiche per capire la malattia e conquistare la salute,Mastronardi Luigi,Armenia,2007,,
6,AmoreDoloreMorte,Davanti al dolore degli altri,Sontag Susan,Mondadori,2003,,
7,AmoreDoloreMorte,Malattia come metafora. Il cancro e  la sua mitologia,Sontag Susan,Einaudi,1977,,
8,AmoreDoloreMorte,Modi di morire,Heath Iona,Bollati Boringhieri,2008,,
9,AmoreDoloreMorteAlzheimer,Cara Nonna. L'Alzheimer spiegato ai bambini,Lavallè Sandrine,Alzheimer Europe,1999,,
10,AmoreDoloreMorteAlzheimer,Tradimento e fedeltà. Il primo libro dell'Alzheimer,Finzi Sergio,Moretti e Vitali Editori,2008,,
11,AmoreDoloreMorteAlzheimer,La nuova cura per anziani e affetti da demenza o Alzheimer,Basting Anne,Vallardi,2023,,
12,AmoreDoloreMorteAlzheimer,Perdutamente. Una famiglia alle prese con l'alzheimer,Pagano Flavio,Giunti,2013,,
13,AmoreDoloreMorteCuraCancro,"Cancro, 10 anni di immunoterapia. Com'è cambiata la lotta ai tumori fra successi, speranze e nuove sfide","Boldrini Mauro, Marchetti Paolo",CAIRO,2021,,
14,AmoreDoloreMorteCuraCancro,Stelle solitarie,Marconi Cristina,Einaudi,2024,,
15,AmoreDoloreMorteCuraCancro,Psicologia e tumori. Una guida per reagire,"Grassi Luigi, Costantini A., Biondi M.",Il Pensiero Scientifico Editore,1998,,
16,AmoreDoloreMorteCuraCancro,Prendersi cura. Custodire la persona nel tempo della malattia,Aramini Michele,Ed. Paoline,2009,,
17,AmoreDoloreMorteCuraCancro,Confini morali. Un argomento politico per l'etica della cura,Tronto Joan C,Diabasis,1993,,
18,AmoreDoloreMorteCuraCancro,"Quello che serve. Un racconto tra malattia, cura e Servizio Sanitario",Cirri Massimo D'ambros Chiara,Manni,2022,,
19,AmoreDoloreMorteCuraCancro,Filosofia della cura,Mortari Luigina,Raffaello Cortina Editore,2015,,
20,AmoreDoloreMorteCuraCancro,Scelte sulla vita. L'esperienza di cura nei reparti di terapia intensiva,Bertolini Guido (a cura di),Guerini Studio,2007,,
21,AmoreDoloreMorteCuraCancro,Il disagio psichico in oncologia,Grassi Luigi (a cura di),Spazio Libri Edizioni,1993,,
22,AmoreDoloreMorteCuraCancro,La relazione d'aiuto. Alla ricerca della propria umanità,Ventre Antonio,EDB,2005,,
23,AmoreDoloreMorteCuraCancro,Saper accompagnare. Aiutare gli altri e se stessi ad affrontare la morte,Ostaseski Frank,Mondadori,2005,,
24,AmoreDoloreMorteCuraCancro,Salute! Curare la sofferenza con l'allegria e con l'amore,Adams Patch,Feltrinelli,2017,,
25,AmoreDoloreMorteCuraCancro,Il giudizio medico,Ricoeur Paul,Morcelliana,1996,,
26,AmoreDoloreMorteCuraCancro,"Ho scelto di guarire. Un viaggio dal cancro alla rinascita attraverso le chiavi della Metamedicina, della Psicologia, della Consapevolezza e dell'Amore",Milano Serena,Anima Edizioni,2012,,
27,AmoreDoloreMorteCuraCancro,L'imperatore del male. Una biografia del cancro,Mukherjee Siddhaetha,Mondadori,2010,,
28,AmoreDoloreMorteCuraCancro,Gli incerti battiti del cuore,Rainero Fassati Luigi,Longanesi,2011,,
29,AmoreDoloreMorteCuraCancro,Aver cura di sé,Mortari Luigina,Raffaello Cortina Ed.,2019,,
30,AmoreDoloreMorteDolore,L'esperienza del dolore. Le forme del patire nella cultura occidentale,Natoli Salvatore,Feltrinelli,1999,,
31,AmoreDoloreMorteDolore,Il male. Storia naturale e sociale della sofferenza,Boncinelli E.,Mondadori,2007,,
32,AmoreDoloreMorteDolore,Liberi dal dolore. La sofferenza fisica e le nuove terapie per curarla,Bonezzi Cesare,Mondadori,2002,,
33,AmoreDoloreMorteDolore,Affrontare il dolore fisico,Shone Neville,Calderini,1994,,
34,AmoreDoloreMorteDolore,"No al dolore. Origine e significato del dolore. Cosa fare, cosa non fare, a chi rivolgersi per combattere la sofferenza fisica","Baldissera Fausto, Pace Giovanni Maria",Feltrinelli,1980,,
35,AmoreDoloreMorteDolore,Capire il dolore. Perché la sofferenza lasci spazio alla gioia,Andreoli Vittorino,Rizzoli,2003,,
36,AmoreDoloreMorteEutanasia,Eutanasia uscita di sicurezza,Humphry Derek,Elèuthera,1991,,
37,AmoreDoloreMorteEutanasia,Pensare l'eutanasia,Goffi Jean-Yves,Einaudi,2004,,
38,AmoreDoloreMorteEutanasia,"Vite sospese. Eutanasia, un diritto? Vivere o morire dopo il caso Welby",Pannitteri Adriana,Aliberti editore,2007,,
39,AmoreDoloreMorteEutanasia,Manifesto per una morte dolce,"Jaccard Roland, Thevoz Michel",EDT,1992,,
40,AmoreDoloreMorteEutanasia,Sospesi. Una lettura antropologica dell'eutanasia,Verga Marfisi Federica,Fondazione Ariodante Fabretti,2011,,
41,AmoreDoloreMorteMorire,La morte si fa social. Immortalità memoria e lutto nell'epoca della cultura digitale,Sisto Davide,Bollati Boringhieri,2018,,
42,AmoreDoloreMorteMorire,"L'assistenza al morente. Aspetti socioculturali, medicoassistenziali e pastorali","Sgreccia E. , Spagnolo A. G. , Di Pietro M. l.",Vita e pensiero,1994,,
43,AmoreDoloreMorteMorire,Della Dignità del Morire. Una difesa della libera scelta,Kung Hans,Rizzoli,1995,,
44,AmoreDoloreMorteMorire,"Il teatro dell'immortalità. Mortalità, immortalità e altre strategie",Bauman Zygmunt,Il Mulino,1992,,
45,AmoreDoloreMorteMorire,Ognuno ha tante storie. Sostegno ai pazienti oncologici e alle loro famiglie,AAVV,GL Editore Piacenza,2011,,Libreria Piccola 9°
46,AmoreDoloreMorteMorire,La morte e il morire,Kubler-Ross Elisabeth,Cittadella Editrice,1976,,
47,AmoreDoloreMorteMorire,"Vivere il tramonto. Paure, bisogni e speranze dinanzi alla morte",Pangrazzi Arnaldo,Erickson,2006,,
48,AmoreDoloreMorteMorire,La morte del prossimo,Zoja Luigi,Einaudi,2009,,
49,AmoreDoloreMorteMorire,La parola al paziente. Il consenso informato e il rifiuto delle cure,"De Tilla Maurizio, Militerni Lucio, Veronesi U.",Sperling & Kupfer,2008,,
50,AmoreDoloreMorteMorire,Per una pedagogia della morte,Malavasi Pierluigi,Cappelli Editore,1985,,
51,AmoreDoloreMorteMorire,Il grande forse. Da Socrate a Hal 9000 una memorabile antologia sull'arte del trapasso,Paronuzzi Alessandro (a cura di),Ancora Editrice,2001,,
52,AmoreDoloreMorteMorire,Testamento (anche) biologico,De Giorgi Fulvio,Il Margine,2009,,
53,AmoreDoloreMorteMorire,La morte amica. Lezioni di vita da chi sta per morire. Prefazione di Francoise Mitterrand,De Hennezel Marie,Rizzoli,1995,,
54,AmoreDoloreMorteMorire,Contro la morte. Psicologia ed etica dell'aiuto ai morenti,Campione Francesco,CLUEB,2003,,
55,AmoreDoloreMorteNarr,Una questione di morte e di vita,"Yalom Irvin D. , Yalom Marilyn",Neri Pozza,2021,,
56,AmoreDoloreMorteNarr,Oscura luminosissima notte (Libro+DVD),Chiara M.,Edizioni San Paolo,2008,Libro + FILM,
57,AmoreDoloreMorteNarr,Nascita di un ponte,De Kerangal Maylis,Feltrinelli,2010,,
58,AmoreDoloreMorteNarr,La vita è una ferita assurda,Glantz Margo,Giunti,2002,,
59,AmoreDoloreMorteNarr,Corniche Kennedy,De Kerangal Maylis,Feltrinelli,2018,,
60,AmoreDoloreMorteNarr,Avrò cura di te. Quando si diventa genitori dei propri genitori,Fontanel Sophie,Mondadori,2010,,
61,AmoreDoloreMorteNarr,Chiedo scusa,Abate Francesco Mastrofranco Saverio,Einaudi,2010,,
62,AmoreDoloreMorteNarr,Blue nights,Didion Joan,Il Saggiatore,2011,,
63,AmoreDoloreMorteNarr,Riparare i viventi,De Kerangal Maylis,Feltrinelli,2015,,
64,AmoreDoloreMorteNarr,Al giardino ancora non l'ho detto,Pera Pia (GRANDE),Ponte alle Grazie,2016,,
65,AmoreDoloreMorteNarr,I miei piccoli dispiaceri,Toews Miriam,Marcos y Marcos,2014,,
66,AmoreDoloreMorteNarr,Diario di un dolore,Lewis C. S. (GRANDE),Adelphi,1961,,
67,AmoreDoloreMorteNarr,La scelta di Edith. Una psicologa sopravvissuta ai lager ci insegna a superare i traumi del passato attraverso la resilienza,Eger Edith Eva,Corbaccio Editore,2017,,
68,AmoreDoloreMorteNarr,Il periodo del silenzio,Manfredi Francesca,La nave di Teseo,2024,,
69,AmoreDoloreMorteNarr,Lo specchio coperto. Diario di un lutto,Loewenthal Elena (GRANDE),Bompiani,2015,,
70,AmoreDoloreMorteNarr,Il talento del dolore,Miller Andrew,Club degli editori,1997,,
71,AmoreDoloreMorteNarr,"Braccialetti rossi. Il mondo Giallo. Se credi nei sogni, i sogni si creeranno. Il libro da cui è stata tratta la fiction in onda su RAI 1",Espinosa Albert,Salani Editore,2008,,
72,AmoreDoloreMorteNarr,Fiorire d'inverno. La mia storia,Toffa Nadia,Mondadori,2018,,
73,AmoreDoloreMorteNarr,La linea verticale,Torre Mattia,Baldini Castoldi Dalai Editore,2017,,
74,AmoreDoloreMorteNarr,"Il senso del tumore per la vita. Un anno nel reparto ""Rari e stravaganti""",Colonnello Paolo,Quattro D,2016,,
75,AmoreDoloreMorteNarr,Cecità,Saramago Josè,Feltrinelli,1995,,
76,AmoreDoloreMorteNarr,Cosa sognano i pesci rossi,Venturino Marco,Mondadori,2005,,
77,AmoreDoloreMorteNarr,Una gioia feroce,Chalandon Sorj,Keller,2019,,
78,AmoreDoloreMorteNarr,La vita senza limiti. La morte di Eluana in uno stato di diritto,"Englaro B. , Pannitteri A.",Rizzoli,2009,,
79,AmoreDoloreMorteNarr,Caduto fuori dal tempo,Grossman David,Mondadori,2011,,
80,AmoreDoloreMorteNarr,Un complicato atto d'amore,Toews Miriam,Adelphi,2004,,
81,AmoreDoloreMorteNarr,Svegliami a mezzanotte,Marino Fuani,Einaudi,2019,,
82,AmoreDoloreMorteNarr,Vecchiaccia,Marino Fuani,Einaudi,2023,,
83,AmoreDoloreMorteNarr,Io sono salute. Quando la letteratura incontra la medicina,Gardini Nicola,Aboca,2023,,
84,AmoreDoloreMorteNarr,Io sono qui (Libro+DVD),Melazzini Mario ,Edizioni San Paolo,2011,,
85,AmoreDoloreMorteNarr,Una morte dolcissima,De Beauvoir Simone,Einaudi,1964,,
86,AmoreDoloreMorteNarr,La mano che cura,Parra Ochoa Lina Marìa,Feltrinelli,2023,,
87,AmoreDoloreMorteNarr,Una casa in fiamme,Forti Laura,Guanda,2022,,
88,AmoreDoloreMorteNarr,Bianco è il colore del danno,Mannocchi Francesca,Einaudi,2021,,
89,AmoreDoloreMorteNarr,Il mio anno di riposo e oblio,Moshfegh Ottessa,Feltrinelli,2018,,
90,AmoreDoloreMorteNarr,Imparare a parlare con le piante,Orriols Marta,Ponte alle Grazie,2018,,
91,AmoreDoloreMorteNarr,La notte ha la mia voce,Sarchi Alessandra,Einaudi,2017,,
92,AmoreDoloreMorteNarr,"Uscire dalla solitudine. Dietro le nuvole, l'amicizia e l'amore",Chiaia Olga,Feltrinelli,2019,,
93,AmoreDoloreMorteNarr,Con molta cura,Cesari Severino (GRANDE),Einaudi,2021,,
94,AmoreDoloreMorteNarr,Le possibilità della notte,Venturino Marco,Mondadori,2010,,
95,AmoreDoloreMorteNarr,"Se la morte ti ha tolto qualcosa, tu restituiscilo. Il libro di Carl",Aidt Naja Marie (GRANDE),Utopia Editore Milano,2021,,
96,AmoreDoloreMorteNarr,Lasciatemi morire,Welby Piergiorgio,Rizzoli,2006,,
97,AmoreDoloreMorteNarr,Appunti sul dolore,Ngozi Adichie Chimanda,Einaudi,2021,,
98,AmoreDoloreMorteNarr,Il male addosso,Verda Sandra,Bollati Boringhieri,1994,,
99,AmoreDoloreMorteNarr,Lo scafandro e la farfalla,Bauby Jean-Dominique,Ponte alle Grazie,1997,,
100,AmoreDoloreMorteNarr,L'anno del pensiero magico,Didion Joan (GRANDE),Il Saggiatore,2006,,
101,AmoreDoloreMorteNarr,Tre ciotole. Rituali per un anno di crisi,Murgia Michela,Mondadori,2023,,
102,AmoreDoloreMorteNarr,Un mondo a portata di mano,De Kerangal Maylis,Feltrinelli,2018,,
103,AmoreDoloreMorteNarr,Cercando il mio nome,Barbieri Carmen,Feltrinelli,2021,,
104,AmoreDoloreMorteNarr,Le intermittenze della morte,Saramago Josè,Feltrinelli,2005,,
105,AmoreDoloreMorteTanatologia,La fine della morte. Vita eterna nell'era dell'intelligenza artificiale,Riesewick Moritz ; Block Hans,TLON,2020,,
106,AmoreDoloreMorteTanatologia,La solitudine del morente,Elias Norbert,Il Mulino,1982,,
107,AmoreDoloreMorteTanatologia,Non sono il mio tumore. Curarsi il cancro in Italia ,Sozzi Marina,Chiarelettere,2019,,
108,AmoreDoloreMorteTanatologia,La società degli individui,Elias Norbert,Il Mulino,1987,,
109,AmoreDoloreMorteTanatologia,La società senza dolore. Perché abbiamo bandito la sofferenza dalle nostre vite,Byung-Chul Han,Einaudi,2020,,
110,AmoreDoloreMorteTanatologia,Il lutto. Studi sul cordoglio negli adulti (Pref. Bowlby J.),Murray Parkes Colin,Feltrinelli,1972,,
111,AmoreDoloreMorteTanatologia,La luce delle stelle morte. Saggio su lutto e nostalgia,Recalcati Massimo,Feltrinelli,2022,,
112,AmoreDoloreMorteTanatologia,Reinventare la morte. Introduzione alla tanatologia,Sozzi Marina,Laterza,2009,,
113,AmoreDoloreMorteTanatologia,"Nello spazio del lutto. Melanconia, violenza, tenerezza. Postfazione di Antonello Correale",Ambrosiano Laura,Mimesis,2021,,
114,AntrLibriTesto,Lineamenti di antropologia culturale,Harris M.,Zanichelli,1999,,
115,Antropologia,Amore e odio. Per una storia naturale dei comportamenti elementari,Eibl-Eibesfeldt I.,Euroclub,1970,,
116,Antropologia,Cannibali e re. Le origini delle culture,Harris M.,Feltrinelli,1977,,
117,Antropologia,Gli Dei della Grecia,Kerenyi K.,Il Saggiatore,1951,,
118,Antropologia,I Greci selvaggi. Antropologia storica di Ernesto De Martino,Di Donato R.,Manifestolibri,1999,,
119,Antropologia,Il ramo d'oro. Studio sulla magia e la religione,Frazer James G.,Newton Compton Editori,1992,,
120,Antropologia,L'individuo e la sua società. La struttura della personalità” di base” nelle società primitive. Un incontro oramai classico tra psicoanalisi e antropologia culturale,Kardiner A.,Bompiani,1935,,
121,Antropologia,"Diversità di natura, diversità di cultura",Descola Philippe,Book Time,2010,,
122,Antropologia,Il mito e l'uomo. Percorsi del pensiero mitico dall'antichità al mondo moderno,Benelli G. C.,Mondadori,1992,,
123,Antropologia,Nonluoghi. Introduzione a una antropologia della surmodernità,Augé Marc,Eléuthera,1992,,
124,Antropologia,L'origine dell'uomo,Darwin C.,Ed. Riuniti,1966,,
125,Antropologia,Etnografia. Scritture e rappresentazioni dell'antropologia,"Fabietti U. , Matera V.",La Nuova Italia,1997,,
126,Antropologia,Risuscitato!,Augé Marc,Raffaello Cortina Ed.,2019,,
127,Antropologia,Teorie dell'evoluzione nell'ottocento,Barsanti G. (a cura di),Le Monnier,1980,,
128,Antropologia,Storia dell'antropologia,Deliège R.,Il Mulino,2006,,
129,Antropologia,Verso un'ecologia della mente,Bateson Gregory,Adelphi,1977,,
130,Antropologia,Uomini diversi da noi. Lineamenti di antropologia sociale,Beattie J.,Laterza,1964,,
131,Antropologia,Invecchiano solo gli altri,"Aime Marco, Borzani Luca",Super ET Opera Viva,2017,,
132,Antropologia,L'antropologo e il mondo globale,Augé Marc,Raffaello Cortina Ed.,2013,,
133,Antropologia,Il crimine e la Detection nella letteratura. I casi di Jules Maigret e Arthur Jelling,Gallo D.,Gruppo Editoriale Viator,2013,,
134,Antropologia,Dizionario di mitologia greca e romana,Gremese-Larousse,Gremese Editore,1986,,
135,Antropologia,Costumi sessuali dei popoli civili,Lewandowski H.,Mediterranee,1963,,
136,Antropologia,Storia del pensiero antropologico,Barnard Alan,Il Mulino,2000,,
137,Antropologia,Diario di un senza fissa dimora,Augé Marc,Raffaello Cortina Ed.,2011,,
138,Antropologia,Elementi di antropologia culturale,Fabietti U.,Mondadori,2004,,
139,Antropologia,Il tempo senza età. La vecchiaia non esiste,Augé Marc,Raffaello Cortina Ed.,2014,,
140,Antropologia,Per un'Antropologia non egemonica. Il Manifesto di Losanna,AAVV,Eléuthera,2011,,
141,Antropologia,Le forme dell'oblio. Dimenticare per vivere,Augé Marc,Il Saggiatore,1998,,
142,Antropologia,Il metrò rivisitato,Augé Marc,Raffaello Cortina Ed.,2009,,
143,Antropologia,La straordinaria storia della vita. Dalle prime molecole organiche all'uomo d'oggi,"Angela Piero, Alberto",Mondadori,1999,,
144,Antropologia,Un etnologo nel metrò,Augé Marc,Editrice A,1986,,
145,Antropologia,Altri Sé. Per una antropologia delle invarianze,Cirese M. Alberto,Sellerio,2010,,
146,Antropologia,Omero e Dallas. Narrazione e convivialità dal canto epico alla soap-opera,Dupont F.,Donzelli Editore,1991,,
147,Antropologia,Il mestiere dell'antropologo,Augé Marc,Bollati Boringhieri,2006,,
148,Antropologia,L'Antropologia italiana un secolo di storia,AAVV,Laterza,1985,,"Ingresso 1, 2"
149,Antropologia,Istinto e apprendimento negli animali,Manusia M.,Sansoni,1984,,
150,Antropologia,A scuola tra antropologia e educazione,Piasere L.,SEID Editori,2010,,
151,Antropologia,Sesso e temperamento. (Ricerca antropologica sul rapporto tra i sessi),Mead M.,Il Saggiatore,1935,,
152,Antropologia,Breve storia del progresso,Wright R.,Mondadori,2004,,
153,Antropologia,Antropologia economica,Tentori T.,F. Angeli,1974,,
154,Antropologia,Il pensiero selvaggio,Lévi-Strauss C.,Il Saggiatore,1962,,
155,Antropologia,Il padre nella psicologia primitiva,Malinowski B.,Rizzoli,1927,,
156,Antropologia,Il mito dell'amore,Parodi B.,Ediprint,1991,,
157,Antropologia,"La cura e il potere. Salute globale, saperi antropologici, azioni di cooperazione sanitaria transnazionale","Pellecchia U. , Zanotelli F. (a cura di)",Ed.it,2010,,
158,Antropologia,Si fa presto a dire cotto. Un antropolo in cucina,Niola Marino,Il Mulino,2009,,
159,Antropologia,Oppressione della donna e ricerca antropologica,Micela R.,Savelli,1979,,
160,Antropologia,Quando le donne hanno la luna. Credenze e tabù,Ranisio G.,Baldini Castoldi Dalai Editore,2006,,
161,Antropologia,Maschio e femmina,Mead M.,Il Saggiatore,1949,,
162,Antropologia,La vita sessuale nei selvaggi,Malinowski B.,Feltrinelli,1929,,
163,Antropologia,Maschile/Femminile,Tinacci V.,G. B. Palumbo Editore,2000,,
164,Antropologia,Attraverso Bateson. Ecologia della mente e relazioni sociali,Manghi S. (a cura di),Raffaello Cortina Ed.,1998,,
165,Antropologia,La femmina dell'uomo,Magli Ida,Laterza,1982,,
166,Antropologia,Futuro,Augé Marc,Bollati Boringhieri,2012,,
167,Antropologia,L'anello di Re Salomone,Lorenz K.,Adelphi,1983,,
168,Antropologia,Costumi sessuali dei popoli extra-europei,Lewandowski H.,Mediterranee,1963,,
169,Antropologia,Tristi tropici,Lévi-Strauss C.,Club degli Editori,1955,,
170,Antropologia,Razza e storia e altri studi di antropologia. Le regole che condizionano il pensiero e la vita dell'uomo,Lévi-Strauss C.,Einaudi,1967,,
171,AntropologiaEtnopsichiatria,"Le ragioni degli altri. Etnopsichiatria, etnopsicoterapie",Coppo Piero,Raffaello Cortina Ed.,2013,,
172,AntropologiaEtnopsichiatria,Tra psiche e culture. Elementi di etnopsichiatria,Coppo Piero,Bollati Boringhieri,2003,,
173,Arte,Michele Valenza scultore,Spena F.,Arte Club,1997,,
174,Arte,La traccia dell'uomo. Vol. 1 e 2 (Maleo),Zambarbieri A.,?,?,,
175,Arte,Poesia muta. 15 luglio 13 settembre Casa del Popolo Rivergaro Piacenza,Sironi Mario,Edizioni Tip.Le.Co.,2023,,
176,Arte,Francesco Ghittoni tra Fattori e Morandi,Sgarbi V. (a cura di),SKIRA EDITORE,2016,,
177,Arte,Annate 1985-86-87,Rivista Arte, (1)1989,1981,Giorgio Mondadori,1985/87
178,Arte,Daniele Calabri,Pietrogrande E. (a cura di),Editoriale Programma,1988,,
179,Arte,L'avanguardia europea. Anni Venti a Mosca e a Weimar,Willett J.,Ed. Riuniti,1983,,
180,Arte,Morte del centauro,"Cofferati S., Casarin R.",AUSER Mantova,1997,,
181,Arte,Storia dell'arte italiana. Vol. 3,Argan G. C.,Sansoni,1970,,
182,Arte,N° 15 fascicoli,I grandi pittori,,,,
183,Arte,Libertà e servitù dell'arte,Fanizza F.,Dedalo,1972,,
184,Arte,Michelangelo,Art Dossier,Giunti,,,
185,Arte,Viale belle arti,De Seta C.,Bompiani,1991,,
186,Arte,Il Mondo di Escher,Locher J. L. (a cura di),Garzanti,1971,,
187,Arte,Degas,Elemond Arte,L'Unità,,,
188,Arte,Entretiens (Storia del surrealismo 1919-1945),Breton A.,Erre Emme,1952,,
189,Arte,Il Museo Nazionale di Arte Moderna,Centro G. Pompidou,Beaux Arts,,,
190,Arte,Le avanguardie artistiche del Novecento,De Micheli M.,Feltrinelli,1966,,
191,Arte,Quello che del tempo m'è rimasto. Incisioni e opere su carta,Brognara F.,Archivio Storico Lodi,1999,,
192,Arte,Museo del papiro,AAVV,Ist. Int. del papiro Siracusa,1990,,
193,Arte,n° 6 Volumi,Cà de Sass,Cariplo,,,
194,Arte,Peccato capitale. Storia urbanistica di Roma da Argan a Carraro,De Lucia V.,Il Manifesto,1993,,
195,Arte,Opere dell'antico Cinquecento,Catalogo,Galleria Nazionale di Parma,,,
196,Arte,Maccari Nino,Catalogo,Galleria Pace Milano,1985,,
197,Arte,Gino Carrera,Catalogo,Pro Loco Casalpusterlengo,1993,,
198,Arte,Arte contemporanea,Catalogo,Brerarte,,,
199,Arte,Sei favole di La Fontaine. IL libro oggetto da leggere da guardare da mettere in cornice,Gemo G.,Firmadue editrice,1967,,
200,Arte,Federica Galli Mostra antologica,Catalogo,Pro Loco Casalpusterlengo,1993,,
201,Arte,Ricerche visuali. Dopo il 1945. Documenti e testimonianze,Dalai Emiliani M.,UNICOPLI,1978,,
202,Arte,Vincent,AAVV,Museum V. Van Gogh,,,
203,Arte,Pattern's vol 4,AAVV,Masato Nakagawa,1986,,
204,Arte,"Dal n°1 al n°68+Guida + n° 1 fascicolo ""L'arte racconta""",I maestri del colore,,,,
205,Arte,Avanguardia artistica e avanguardia politica. (a cura di Antonio Melis),Mariàtegui Carlos J.,Mazzotta,1975,,
206,Arte,Museo Picasso,AAVV,Catalogo,1993,,
207,Arte,Francesco Francia  e la sua scuola,?,?,?,,Cantinino libreria Genitori
208,Arte,Maestri contemporanei 1986,AAVV,Galleria Pace Milano,1986,,
209,Arte,"L'avventura Surrealista. Amore e rivoluzione, anche (controcorrente .26)",Schwarz Arturo,Erre Emme,1997,,
210,Arte,Gioielli arte e materia,AAVV,AB EDITRICE,1990,,
211,Arte,"Dipinti, mobili e antiquariato",AAVV,Gallerie Gilberto Agranti,1986,,
212,Arte,Notizie APIC,?,?,?,,
213,Arte,Le opere d'arte del Comune di Casalpusterlengo e della Pro Loco,AAVV,Comune Casalpusterlengo,2005,,
214,Arte,Van Gogh,AAVV,L'Unità,1992,,
215,Arte,British Museum. Guida ricordo,AAVV,,,,
216,Arte,I musei Vaticani,?,?,?,,
217,Bioetica,Bioetica. 10 temi per capire e discutere,Mori Maurizio,Bruno Mondadori,2002,,
218,Bioetica,Questioni di bioetica,Rodotà Stefano,Laterza,1993,,
219,Bioetica,Le frontiere della bioetica,"Morelli Anna , Mancini Elena",Giunti,2004,,
220,BioeticaDoloreMorteLager,L'armadio della vergogna,Giustolisi Franco,Beat,2011,,
221,BioeticaDoloreMorteLager,Tu passerai per il camino,Pappalettera Vincenzo,Mursia,,,
222,BioeticaDoloreMorteLager,In fuga dai lager. La vera storia di una donna partigiana,Franchini Ponti Rita,Grafiche Ortolan,2010,,
223,BioeticaDoloreMorteLager,La voce dei sommersi. Manoscritti ritrovati di membri del Sonderkommando di Auschwitz,Saletti Carlo (a cura di),Marsilio,1996,,
224,BioeticaDoloreMorteLager,Auschwitz ero il numero 220543,Avey Denis,Newton Compton Editori,2011,,
225,BioeticaDoloreMorteLager,Signora Auschwitz. Il dono della parola,Bruck Edth,Marsilio,1999,,
226,BioeticaDoloreMorteLager,Il comandante di Auschwitz. Una storia vera,Harding Thomas,Newton Compton Editori,2013,,
227,BioeticaDoloreMorteLager,Credo nell'ingiustizia,Vitale Adelia,Pietro Pintore Editore,2009,,
228,BioeticaDoloreMorteLager,Uno psicologo nei lager,Frankl Viktor,Edizioni ARES,2009,,
229,BioeticaDoloreMorteLager,Viktor Frankl. Padre della logoterapia e analisi esistenziale,Fizzotti Eugenio,Morcelliana,2015,,
230,BioeticaDoloreMorteLager,Prigionieri dimenticati. Internati militari italiani nei campi di Hitler,Tagliasacchi Claudio,Marsilio,1999,,
231,BioeticaDoloreMorteLager,Storia dell'olocausto. Dalle origini della giudeofobia tedesca alla soluzione finale nazista,Fischer P. Klaus,Newton Compton Editori,1998,,
232,BioeticaDoloreMorteLager,I lager nazisti. Guida storico-didattica,Chiappano Alessandra,La Giuntina Editrice,2007,,
233,CorpoCibo,Noi e il nostro corpo,The Boston Women's Health Book Collective,Feltrinelli,1971,,
234,CorpoCibo,Cambia il corpo cambia la vita. Il libro per i giovani sulla sessualità e i rapporti con gli altri,The Boston Women's Health Book Collective,Feltrinelli,1980,,
235,CorpoCibo,Storia del corpo femminile,Shorter E.,Feltrinelli,1982,,
236,CorpoCibo,Il corpo provvisorio (la transessualità),Persico Giovanni,Melusina,1991,,
237,CorpoCibo,Il cibo e l'amore,Pasini W.,Mondadori,1994,,
238,CorpoCibo,Il linguaggio della pelle,Montagu A.,Vallardi,1971,,
239,CorpoCibo,"Le prigioni del cibo. Vomiting, anoressia, bulimia. La terapia in tempi brevi","Nardone G., Verbitz T., Milanese R.",Ponte alle Grazie,1999,,
240,CorpoCibo,Volevo essere una farfalla. Come l'anoressia mi ha insegnato a vivere,Marzano M.,Mondadori,2011,,
241,CorpoCibo,Dizionario di Psicosomatica: S – Z,Istituto Riza di Medicina Psicosomatica. Autori Vari,RIZA,2007,,
242,CorpoCibo,Il corpo e il suo linguaggio. Studio della comunicazione non verbale,Argyle M.,Zanichelli,1978,,
243,CorpoCibo,Voglio quelle scarpe! La più grande ossessione femminile,Jacobbi P.,Sperling & Kupfer,2004,,
244,CorpoCibo,Sesso e cibo. Conflitti femminili,"Meadow R. M., Weiss L.",Ed. Positive,1991,,
245,CorpoCibo,I sapori della modernità. Cibo e romanzo,Biasin Gian Paolo,Il Mulino,1991,,
246,CorpoCibo,Il volto e l'anima. Fisiognomica e passioni,Magli P.,C D E,1997,,
247,CorpoCibo,Finalmente liberi dal cibo,Gockel R.,Feltrinelli,1992,,
248,CorpoCibo,Il cibo come cultura,MicroMega (N°5/99),Editrice Periodici Culturali,1999,,
249,CorpoCibo,"Manifesto cyborg. Donne, tecnologia e biopolitiche del corpo",Haraway Donna J.,Feltrinelli,1991,,
250,CorpoCibo,IL linguaggio segreto del corpo. La comunicazione non verbale,Guglielmi A.,Edizioni PIEMME,2007,Manca,
251,CorpoCibo,Il peso del corpo,Bordo S.,Feltrinelli,1993,,
